,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
328,331,6037123204,3449,Los Angeles,91606,North Hollywood,-118.3943295,34.193936,1087.32,71.22,57.86,7.13,88.28,68.36,77.07,60.5,84.78,83.31735379,1139.0,1.4554170659999999,13.01912292,35594.0,3.21
329,332,6037229200,4394,Los Angeles,90011,Los Angeles,-118.2608283,33.9982715,914.29,63.25,58.61,7.22,89.57,63.52,73.07,75.4,96.48,69.33333333,816.0,1.691555556,10.21536034,25598.0,3.92
330,333,6037127220,4931,Los Angeles,91405,Van Nuys,-118.4531264,34.2047824,1265.12,77.15,51.37,6.33,75.82,98.74,92.58,66.8,90.63,80.85480094,1070.0,1.1323185009999999,10.58666083,33918.0,2.72
331,334,6073005100,7140,San Diego,92113,San Diego,-117.1528082,32.7037376,1071.3,70.61,59.8,7.37,91.28,73.61,81.0,67.7,91.41,79.39146801,905.0,0.93412798,7.967686929,35815.0,1.62
333,336,6037123203,3765,Los Angeles,91605,North Hollywood,-118.3916113,34.1967006,854.59,60.33,59.35,7.31,90.64,60.29,69.41,67.6,91.33,87.47763864,1004.0,1.474060823,7.7511096539999995,36006.0,3.51
334,337,6037192700,3513,Los Angeles,90004,Los Angeles,-118.2881064,34.0800134,2309.27,93.57,62.39,7.69,94.21,59.55,68.69,58.8,83.22,87.51164958,1197.0,1.409133271,8.17440281,40146.0,3.15
335,338,6037239201,3562,Los Angeles,90003,Los Angeles,-118.2771699,33.9857805,4092.07,99.5,56.22,6.92,85.54,95.56,91.35,73.4,95.25,80.97395243,1019.0,1.493771234,7.943156202000001,31250.0,4.29
337,340,6037232120,5263,Los Angeles,90037,Los Angeles,-118.2839315,33.999674799999994,4744.05,99.86,52.23,6.43,77.81,92.32,90.18,70.9,93.66,80.61302682,981.0,1.356321839,10.11956055,31138.0,4.37
339,342,6037218500,2869,Los Angeles,90016,Los Angeles,-118.3505675,34.0373844,3494.81,98.66,59.69,7.35,91.13,86.4,87.83,43.8,65.24,63.85542169,1142.0,1.5491967869999999,7.703065457999999,40913.0,2.75
341,344,6037541605,5323,Los Angeles,90221,Compton,-118.2100244,33.8993431,569.24,38.41,56.34,6.94,85.7,87.61,88.46,69.9,92.88,59.66850829,1102.0,1.9013417519999998,5.909095102999999,41158.0,4.27
342,345,6037204810,4478,Los Angeles,90023,Los Angeles,-118.2030018,34.028555299999994,3462.77,98.6,61.98,7.63,93.7,48.12,53.76,68.1,91.67,67.38197425,1013.0,1.556223176,6.125205287000001,37519.0,4.09
344,347,6037531504,4414,Los Angeles,90022,Los Angeles,-118.1673915,34.0282174,1055.23,70.01,51.97,6.4,77.14,62.41,71.81,74.3,95.84,67.48466258,1009.0,1.7747589830000001,9.183732122,39157.0,3.9
349,352,6037535002,3681,Los Angeles,90001,Los Angeles,-118.2465194,33.971166499999995,868.15,61.05,52.59,6.48,78.63,79.03,84.58,67.4,91.11,68.11779770000001,1034.0,1.7029449419999998,6.540231855,35075.0,4.52
350,353,6037228720,4492,Los Angeles,90011,Los Angeles,-118.2499406,33.999367,733.04,52.64,59.38,7.31,90.69,63.52,73.07,79.6,98.23,72.37512742,1087.0,1.47706422,9.822968287,33487.0,4.59
351,354,6037541606,2506,Los Angeles,90221,Compton,-118.218295,33.8997715,564.74,37.82,51.19,6.31,75.44,87.61,88.46,68.2,91.8,67.1641791,985.0,1.759535655,7.1583025760000005,40625.0,3.99
354,357,6037208302,4360,Los Angeles,90026,Los Angeles,-118.2624816,34.06347879999999,978.19,66.65,65.19,8.03,96.33,43.26,46.62,69.0,92.32,89.47368421,862.0,1.102493075,13.28197308,31573.0,2.78
356,359,6037603001,7139,Los Angeles,90247,Gardena,-118.2957134,33.9011403,672.27,47.95,60.18,7.41,91.89,79.41,84.69,50.2,73.41,58.91666667,1112.0,1.567083333,8.531482833,45000.0,3.03
362,365,6037219300,3700,Los Angeles,90018,Los Angeles,-118.33182990000002,34.02675870000001,1675.33,86.4,55.53,6.84,84.58,79.88,85.1,72.6,94.7,74.33628319,1045.0,1.307692308,9.120498522,29980.0,3.21
363,366,6037190801,2594,Los Angeles,90028,Los Angeles,-118.3244586,34.094376700000005,1709.02,86.93,61.13,7.53,92.96,51.33,57.96,69.6,92.67,92.27340267,959.0,0.8662704309999999,16.802061600000002,20125.0,1.68
368,372,6037128303,3982,Los Angeles,91411,Van Nuys,-118.4523813,34.1830757,1313.59,78.53,51.15,6.3,75.36,65.74,74.79,81.2,98.72,94.90616622,1095.0,1.048257373,10.9398183,24183.0,3.12
372,376,6037533603,6617,Los Angeles,90201,Bell,-118.195066,33.97247279999999,952.7,65.28,62.22,7.66,94.04,46.57,51.84,66.6,90.47,74.17181359,976.0,1.690061763,8.909133674,41325.0,3.94
377,381,6037243000,6769,Los Angeles,90002,Los Angeles,-118.2336919,33.9395183,750.45,53.68,60.22,7.42,91.95,74.11,81.4,70.9,93.66,43.92244594,1524.0,2.056674124,7.565125587000001,42470.0,5.32
378,382,6037228710,4235,Los Angeles,90011,Los Angeles,-118.2542903,33.9993679,967.19,65.94,56.31,6.94,85.66,63.52,73.07,79.5,98.19,74.18677859,1014.0,1.403987408,9.527581343,27703.0,3.81
382,386,6037603102,4084,Los Angeles,90247,Gardena,-118.2952308,33.877179600000005,912.95,63.22,65.59,8.08,96.55,63.55,73.12,46.1,68.49,61.16504854,1106.0,1.7983569830000001,7.2661640610000005,50190.0,2.78
383,387,6037533602,5420,Los Angeles,90201,Bell,-118.19651670000002,33.9771928,904.07,62.8,62.6,7.71,94.39,46.79,52.14,64.6,88.75,76.36499626,985.0,1.646222887,7.716345818,32750.0,4.03
393,397,6037240900,5620,Los Angeles,90059,Los Angeles,-118.2606543,33.9346821,806.62,57.19,51.8,6.38,76.81,80.9,85.6,72.7,94.78,52.61221486,1045.0,1.7321559969999998,5.199965553999999,31883.0,4.22
395,399,6037241002,3606,Los Angeles,90059,Los Angeles,-118.2614031,33.925262,3801.82,99.24,56.35,6.94,85.74,77.55,83.32,61.9,86.12,60.02066116,1174.0,1.7004132230000002,5.53804393,37750.0,4.04
