,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
2525,2563,6037212610,4074,Los Angeles,90005,Los Angeles,-118.3138698,34.0598448,1306.84,78.37,50.09,6.17,72.91,38.64,39.75,48.2,71.16,82.77747403,1118.0,1.25041006,20.72403046,36056.0,2.15
2559,2597,6073004600,1940,San Diego,92102,San Diego,-117.1449018,32.7151851,1783.1,88.21,54.52,6.72,82.84,96.4,91.8,38.3,57.23,89.26553672,1120.0,1.329566855,11.10324966,48056.0,1.72
2560,2598,6037211910,4657,Los Angeles,90020,Los Angeles,-118.2985036,34.0672078,1643.6,85.74,51.28,6.32,75.66,35.46,34.26,59.2,83.58,95.97633136,1121.0,0.9798816570000001,49.57161846,41300.0,2.85
2596,2635,6037183810,4369,Los Angeles,90042,Los Angeles,-118.19784950000002,34.107365,899.88,62.64,38.06,4.69,40.01,52.64,59.84,55.0,78.94,87.5,1077.0,1.366815476,11.95554394,33293.0,3.21
2597,2636,6037701702,3106,Los Angeles,90404,Santa Monica,-118.4840964,34.0227687,1195.11,75.13,53.3,6.57,80.34,54.92,62.87,26.5,38.69,95.55048488,1339.0,1.337706788,11.68740601,56823.0,1.84
2626,2666,6037212306,3052,Los Angeles,90005,Los Angeles,-118.2940727,34.056128,1660.03,86.16,50.6,6.23,74.1,30.38,25.74,59.7,84.06,94.10234172,1144.0,1.076322637,28.81672333,32144.0,2.68
2628,2668,6001427600,4722,Alameda ,94501,Alameda,-122.2835979,37.7778323,480.72,28.83,36.98,4.56,37.15,61.42,70.69,57.4,81.73,83.94994559,1575.0,1.381936888,12.76141925,50099.0,3.13
2636,2676,6067001200,3323,Sacramento ,95814,Sacramento,-121.4870807,38.5716422,382.67,19.31,50.3,6.2,73.49,80.15,85.26,42.8,63.76,91.54188588,785.0,0.8385269120000001,14.79100283,35674.0,1.27
2644,2684,6037700101,5232,Los Angeles,90046,Los Angeles,-118.3524483,34.0925747,1236.0,76.33,58.97,7.26,90.08,27.08,19.85,37.5,56.04,90.80345286,1204.0,1.229747676,18.08243191,42500.0,1.67
2672,2713,6001405302,2530,Alameda ,94606,Oakland,-122.2542495,37.7985014,326.99,14.34,40.36,4.97,45.81,73.61,81.0,47.4,70.06,95.83333333,950.0,0.8534946240000001,29.54595554,35638.0,1.76
2673,2714,6075026402,4118,San Francisco,94134,San Francisco,-122.403256,37.7164873,1442.93,81.68,45.09,5.55,58.92,58.91,67.72,21.6,29.88,35.42713568,1803.0,2.059463987,11.77046887,82969.0,3.95
2677,2718,6037183520,3881,Los Angeles,90042,Los Angeles,-118.2015849,34.1109412,661.4,47.11,38.09,4.69,40.15,52.64,59.84,59.7,84.06,69.80244591,982.0,1.4346190030000001,10.05785507,34693.0,3.43
2702,2743,6037216200,4911,Los Angeles,90019,Los Angeles,-118.3482415,34.0571243,1186.04,74.87,59.36,7.31,90.65,37.83,38.15,26.8,39.28,79.72263868,1771.0,1.558095952,11.19539536,81452.0,1.97
2706,2747,6037297202,3423,Los Angeles,90731,San Pedro,-118.2990073,33.7247349,633.99,44.82,41.57,5.12,49.45,84.98,87.56,30.3,45.37,57.13328868,1272.0,1.749497656,10.49340462,65598.0,2.74
2730,2771,6037462201,3788,Los Angeles,91101,Pasadena,-118.1369525,34.1548928,2231.89,92.96,48.43,5.96,68.11,20.83,9.0,51.2,74.63,93.47133758,1100.0,0.91985138,14.20200443,25214.0,1.92
2747,2788,6037269602,3252,Los Angeles,90034,Los Angeles,-118.384482,34.0432688,1723.22,87.17,48.22,5.94,67.53,25.61,17.08,45.6,67.83,82.3264202,1283.0,1.3724075740000001,15.44428665,53210.0,2.4
2775,2817,6075017802,4516,San Francisco,94103,San Francisco,-122.4087033,37.7760649,1306.44,78.34,47.4,5.84,65.12,89.97,89.28,35.9,53.78,76.1592301,1141.0,0.643044619,18.13470199,69833.0,1.95
2779,2821,6059074408,5399,Orange ,92780,Tustin,-117.83664009999998,33.737714600000004,6125.69,99.95,49.23,6.06,70.55,31.15,27.28,56.9,81.22,72.47536946,1355.0,1.8614532019999999,14.03129658,44702.0,3.7
2784,2826,6037124903,3262,Los Angeles,91607,Valley Village,-118.4008675,34.1666099,759.94,54.32,45.24,5.57,59.28,40.81,43.25,39.3,58.48,89.62264151,1363.0,1.4069182390000001,20.66290621,47750.0,2.03
2828,2871,6075026404,2851,San Francisco,94134,San Francisco,-122.4152838,37.7096499,328.9,14.53,38.28,4.72,40.76,50.86,57.35,47.1,69.6,52.14285714,1247.0,1.555714286,15.04018534,48000.0,4.03
2829,2872,6059074407,6700,Orange ,92705,Santa Ana,-117.8422033,33.7378844,6737.3,99.96,58.54,7.21,89.42,22.74,11.94,70.1,93.01,83.57058126,1370.0,1.46737841,14.78061012,35609.0,3.44
2832,2875,6037211802,4192,Los Angeles,90010,Los Angeles,-118.3047254,34.0635374,1400.27,80.71,51.24,6.31,75.59,22.1,10.97,50.0,73.19,90.0766802,1124.0,0.972485341,27.57053906,37045.0,1.88
2843,2887,6037195300,3203,Los Angeles,90027,Los Angeles,-118.2836893,34.0992506,971.21,66.26,53.31,6.57,80.36,46.61,51.89,35.6,53.34,82.29238161,1445.0,1.52299245,10.15988467,67342.0,2.44
2850,2894,6075020100,6172,San Francisco,94103,San Francisco,-122.4200011,37.76860739999999,826.24,58.77,38.62,4.76,41.59,73.72,81.07,54.6,78.63,81.82985554,1009.0,0.521027287,28.2824055,43933.0,1.84
2856,2900,6037269907,2761,Los Angeles,90034,Los Angeles,-118.4067099,34.0280469,3264.88,98.09,46.18,5.69,61.89,39.79,41.64,31.4,47.0,89.4811656,1363.0,1.4171997159999998,20.57102313,57432.0,2.11
2882,2926,6037124902,2766,Los Angeles,91607,Valley Village,-118.4008746,34.1702439,836.7,59.36,44.77,5.51,58.07,40.81,43.25,39.1,58.16,90.17038008,1224.0,1.201179554,18.23923291,37744.0,1.97
2885,2929,6001433900,6599,Alameda ,94578,San Leandro,-122.1135398,37.6992653,1042.52,69.56,29.46,3.63,18.42,107.85,94.27,61.1,85.41,84.73728107,1220.0,1.45704754,11.88409863,41022.0,3.15
2913,2957,6037267403,3011,Los Angeles,90025,Los Angeles,-118.456577,34.0475447,1628.41,85.41,62.92,7.75,94.65,19.33,7.28,34.6,51.93,88.9892716,1713.0,1.361942405,29.19226829,80156.0,1.79
2914,2958,6037212620,4341,Los Angeles,90005,Los Angeles,-118.3130597,34.0563607,1514.0,83.19,50.74,6.25,74.41,33.57,30.98,55.6,79.75,94.88272921,1089.0,1.052771855,26.30418671,33867.0,2.29
2918,2962,6037275200,3887,Los Angeles,90066,Los Angeles,-118.4198974,33.9953352,969.26,66.09,49.93,6.15,72.43,34.35,32.19,43.6,64.94,78.09993831,1288.0,1.4706971009999998,14.17292004,52829.0,2.46
2920,2964,6075012401,5075,San Francisco,94102,San Francisco,-122.415789,37.7830511,603.06,41.78,34.77,4.28,31.35,88.76,88.95,71.2,93.84,100.0,832.0,0.1996997,117.21874209999999,18979.0,1.67
2949,2993,6037208710,4309,Los Angeles,90057,Los Angeles,-118.2825413,34.0657276,1142.73,73.33,49.21,6.06,70.4,39.44,40.93,33.5,50.11,89.80858769,1183.0,1.2095188829999999,45.91177254,45479.0,2.33
2956,3000,6037480303,3858,Los Angeles,91801,Alhambra,-118.1377177,34.095142100000004,946.78,64.96,52.08,6.42,77.34,38.05,38.54,40.7,60.58,76.87456202,1203.0,1.6061667830000002,12.78670647,46607.0,2.88
2968,3012,6037211803,3529,Los Angeles,90020,Los Angeles,-118.3022323,34.067188,1577.94,84.51,50.42,6.21,73.71,43.98,47.7,49.3,72.32,95.13546798,1216.0,1.235221675,47.10240938,39840.0,2.49
2996,3041,6037106407,2933,Los Angeles,91342,Sylmar,-118.4365572,34.310574200000005,1481.91,82.57,37.36,4.6,38.18,64.44,73.93,62.1,86.34,68.52731591,1302.0,1.350356295,14.67928491,33073.0,3.42
