GEOID,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
6019000200,76.62650602,682,1.313253012,1.689462296,21331,3.7
6057000200,13.69390104,1344,2.698504028,0.017975709,69917,2.89
6063000201,15.54677207,850,2.013175231,0.009071758,69750,1.89
6107000201,45.51223935,769,1.849954669,0.933119881,30631,4.03
6099000201,37.09317878,1042,1.880962996,2.215987618,55117,2.44
6071000201,67.58430833,1269,1.629043359,1.999321146,44184,3.05
6015000201,27.03330751,790,1.962044926,0.056781537,50984,2.71
6007000201,48.58490566,852,1.693920335,2.235446053,50452,2.36
6039000201,48.80174292,795,1.932461874,0.017654774,41115,3.28
6047000201,54.19354839,855,2.071889401,0.036712266,43021,3.16
6073000201,49.95206136,1084,1.53978907,4.884082434,98669,2.07
6107000202,50.68285281,718,1.983308042,0.0217319,32031,3.91
6063000202,26.93110647,962,2.114822547,0.001290005,49119,1.81
6099000202,41.28978224,917,1.898659966,2.06498086,53623,3.36
6015000202,27.37693864,801,1.8091706,0.002880271,44614,2.51
6007000202,51.76613886,851,1.551157125,3.870274896,34167,2.24
6047000202,67.9462572,826,1.965451056,0.086558893,38681,3.35
6039000202,39.54266592,1142,2.287228109,0.025033867,53650,3.36
6073000202,58.49056604,1435,1.676243568,7.226103348,61381,2.05
6099000203,44.59616502,919,1.841080767,1.289477421,50337,2.74
6015000203,46.1352657,729,1.780193237,0.004543671,31848,2.82
6071000203,27.36401674,1346,2.280334728,3.285612397,57224,3.55
6047000203,24.45065921,1062,2.121853775,2.128268319,48838,3.78
6071000205,35.63899868,1159,1.900527009,3.787912208,53162,3.36
6071000207,37.59859772,1174,2.325153374,3.671424885,56411,4.12
6071000208,12.60575296,1633,2.494923858,3.678499249,66912,4.25
6009000210,14.50734894,1408,2.412357104,0.060651113,77043,2.76
6009000220,20.36328872,1648,2.501434034,0.032950344,55057,3.12
6009000300,32.0507735,983,2.185640619,0.022322759,41843,2.44
6029000300,70.81339713,834,1.2715311,4.45656257,28864,2.7
6031000300,100,1247,1.758961681,0.093353882,42750,2.95
6063000300,32.89623717,712,1.724059293,0.004191765,41618,2.22
6027000300,8.396946565,1183,2.269083969,0.357140355,89833,2.59
6105000300,34.36823105,710,2.099638989,0.003606142,24086,2.31
6039000300,61.84112843,937,1.67891611,1.105446918,29792,3.27
6093000300,29.01124926,765,2.122557726,0.004803606,40542,2.5
6023000300,47.14845451,969,1.759251197,3.016348337,42983,2.86
6077000300,91.00346021,539,0.893886967,2.671814851,17060,2.05
6073000300,72.02423378,1360,1.401639344,12.63461215,63667,1.69
6007000300,76.71161826,828,1.429460581,3.122466753,28611,2.17
6069000300,26.87140115,1314,2.460652591,0.645974173,59074,4.23
6011000300,33.05036786,1023,2.305602716,0.007505551,57864,3.45
6033000300,26.59713168,1008,1.872881356,0.062745868,47803,2.12
6019000300,62.8436019,653,1.406635071,2.261875938,28419,3.07
6067000300,26.2925599,1422,1.738335435,4.49674405,103529,1.94
6053000300,34.3373494,1243,2.221385542,4.379089839,53625,3.47
6049000300,13.94335512,666,2.239651416,0.000606601,48269,2.7
6103000300,10.67575241,938,2.031800114,0.002143321,39879,2.6
