,id,census_tract,total_population,county,zip,nearby_city,longitude,latitude,traffic,pollution_score,asthma,poverty,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
22,22,6077000700,5269,San Joaquin,95206,Stockton,-121.2878729,37.9431727,1022.65,8.71,123.86,79.5,62.29508197,827,1.381967213,2.761742425,22134,3.29
23,23,6019000901,3151,Fresno ,93706,Fresno,-119.804301,36.7104697,195.77,8.24,142.28,80.8,64.82479784,805,1.5,1.536252845,25336,4
24,24,6077000100,3863,San Joaquin,95202,Stockton,-121.2853628,37.953996,495.25,8.03,176.3,86,98.09248555,551,0.648554913,3.788655914,14800,2.25
25,25,6099002302,4010,Stanislaus ,95351,Modesto,-120.982756,37.6209695,910.22,8.16,95.77,73.5,60.91234347,858,1.651162791,2.348461079,31311,3.42
26,26,6071004900,7590,San Bernardino,92410,San Bernardino,-117.3168792,34.100314,847.17,7.89,121.39,74,61.19318182,820,1.503409091,1.473238644,25371,4.41
27,27,6037535400,3495,Los Angeles,90002,Los Angeles,-118.2314205,33.947117,1094.36,8.25,88.42,75.4,66.90442225,1099,1.928673324,3.67913783,35027,4.53
28,28,6019000700,3921,Fresno ,93706,Fresno,-119.8277069,36.7345353,438.28,7.98,142.18,65.6,56.19982159,881,1.565566459,0.547809022,21979,3.22
29,29,6065030300,4497,Riverside ,92501,Riverside,-117.3763853,33.9798271,1045.59,8.45,108.89,56.2,85.5903936,865,1.138092061,2.444276569,31761,2.19
30,30,6019007100,7904,Fresno ,93662,Selma,-119.6279131,36.5629769,543.06,8.51,101.34,71.2,49.71664091,695,1.841318908,0.552033277,33643,3.85
31,31,6037243100,5350,Los Angeles,90059,Los Angeles,-118.2350934,33.9327963,2521.07,7.7,105.29,76,70.93184979,762,1.483310153,9.586894095,23698,4.37
32,32,6037543305,2666,Los Angeles,90220,Compton,-118.2238692,33.8611473,1418.39,9.34,106.87,34.1,6.350806452,1004,2.13608871,0.482106495,68500,3.23
33,33,6071005701,2216,San Bernardino,92401,San Bernardino,-117.2926063,34.1006404,747.98,7.62,131.79,89.3,85.77981651,366,0.755733945,1.012940896,13250,2.19
34,34,6037204600,4101,Los Angeles,90023,Los Angeles,-118.2158297,34.0366414,2937.84,8.57,73.07,71,79.76929902,981,1.36823425,8.084027376,34332,3.81
35,35,6037227010,4662,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256,982.78,8.64,64.02,72.2,75.34883721,1099,1.533953488,7.511036588,32035,4.46
36,36,6099002301,7841,Stanislaus ,95351,Modesto,-121.0188436,37.6049206,1090.88,8.09,79.42,65.6,50.31355523,1078,1.965267728,2.159377314,41371,4.16
37,37,6019000100,2860,Fresno ,93721,Fresno,-119.7927732,36.7369244,305.84,8.25,69.87,84.1,100,297,0.501945525,2.466194883,11774,1.29
38,38,6077001900,5592,San Joaquin,95205,Stockton,-121.2605554,37.9516762,824.07,8.22,94.01,75.5,66.73669468,943,1.678571429,2.004340274,33197,3.7
39,39,6037206032,5275,Los Angeles,90033,Los Angeles,-118.2246242,34.046259,2658.05,9.25,95.89,69.2,81.55161881,834,1.163103238,6.907334697,31336,3.27
40,40,6037226001,2068,Los Angeles,90021,Los Angeles,-118.2502739,34.0244835,2289.68,9.03,87.25,79.3,83.50305499,1088,1.356415479,1.920250154,38090,4.86
41,41,6037239501,3454,Los Angeles,90001,Los Angeles,-118.2628927,33.9729857,1289.16,7.74,72.52,72.2,64.81069042,1013,1.662583519,7.663397413,31000,4
42,42,6019002000,6369,Fresno ,93728,Fresno,-119.8328803,36.7572824,827.41,8.02,91.21,80.7,68.3625731,815,1.654385965,1.257613029,22368,3.72
43,43,6077005119,6006,San Joaquin,95330,Lathrop,-121.3027448,37.8446844,1088.07,9.87,65.67,34.7,35.7629785,1836,2.385946513,0.20727371,67244,4.06
44,44,6037203100,4839,Los Angeles,90033,Los Angeles,-118.1964766,34.059079,2969.91,8.59,76.55,76.1,84.88745981,799,1.333601286,7.657342966,25515,3.76
45,45,6037530700,2213,Los Angeles,90063,Los Angeles,-118.183979,34.0592143,1829.52,8.41,54.46,54.3,54.09252669,997,1.84341637,2.150536865,44632,4
46,46,6073005000,2227,San Diego,92113,San Diego,-117.1411746,32.6948502,1144.32,7.95,127.1,82.8,92.06586826,912,1.339820359,1.851712702,22444,3.64
47,47,6037301601,6198,Los Angeles,91201,Glendale,-118.2865467,34.1623874,2095.06,9.44,32.65,49.9,87.44106301,1237,1.355336477,4.185072306,39882,2.84
48,48,6037185320,3081,Los Angeles,90065,Los Angeles,-118.2242419,34.0887194,1781.48,8.51,69.42,65.6,65.34883721,979,1.624418605,5.920270227,37500,3.57
49,49,6037543202,4867,Los Angeles,90220,Compton,-118.230032,33.8798617,1641.48,8.31,110.81,62.9,56.22280244,1160,2.11227154,1.53127451,45750,4.46
50,50,6065030502,2220,Riverside ,92507,Riverside,-117.3560514,33.9857419,1545.2,8.73,61.55,64.8,63.44294004,979,1.949709865,1.088686543,36450,4.29
51,51,6071012500,4268,San Bernardino,92324,Colton,-117.3233041,34.0602092,1617.04,8.09,95.84,70,55.15055468,793,1.889857369,1.258685278,29783,3.95
52,52,6037531302,6709,Los Angeles,90023,Los Angeles,-118.1827241,34.0169019,3299.97,8.93,55.5,65.6,64.80519481,1148,1.778571429,7.051950732,39085,4.56
53,53,6019001301,5653,Fresno ,93702,Fresno,-119.7499923,36.732259,562.71,7.22,119.79,82.7,57.31197772,923,1.492339833,2.965867861,26684,3.83
54,54,6019002502,5431,Fresno ,93702,Fresno,-119.7634654,36.7540827,1119.37,7.06,115.44,87.5,84.50479233,649,1.227635783,3.915127389,20000,4.16
55,55,6037402801,5170,Los Angeles,91766,Pomona,-117.7349296,34.0542821,648.27,8.21,66.33,71.8,68.1938326,1115,1.71277533,2.545748216,34208,4.57
56,56,6019001304,5796,Fresno ,93702,Fresno,-119.7455349,36.7250147,365.32,7.63,116.56,81.4,71.68885774,763,1.319551507,4.415705599,27599,3.86
57,57,6077002201,2771,San Joaquin,95206,Stockton,-121.2686436,37.9313083,318.32,7.29,128.15,68.3,52.84653465,960,1.544554455,1.482460023,24136,3.4
58,58,6037532304,3987,Los Angeles,90040,Los Angeles,-118.1526793,33.9862905,1825.61,9.35,56.67,47.7,65.17690875,902,1.418063315,0.52507026,34688,3.16
59,59,6019001303,2888,Fresno ,93702,Fresno,-119.7591482,36.7250069,347.82,7.26,98.82,92.1,58.86792453,748,1.873584906,3.3334637,29886,4.35
60,60,6029002200,6537,Kern ,93307,Bakersfield,-118.9879161,35.3613217,583.48,7.21,89.83,80.6,69.4254446,731,1.244186047,3.059807017,19904,3.73
61,61,6037205110,3766,Los Angeles,90023,Los Angeles,-118.2142985,34.0245059,974.3,8.68,68.74,78.8,100,1165,1.335315101,11.86022967,41344,4.75
62,62,6037570502,6616,Los Angeles,90805,Long Beach,-118.1668021,33.8674703,1191.12,8.25,87.58,45.2,44.65008676,1167,1.928282244,3.502328565,61492,3.69
63,63,6037291210,4967,Los Angeles,90247,Gardena,-118.2870814,33.8886904,2498.31,9.3,70.23,53,46.06060606,1095,1.94006734,4.836066364,53250,3.88
64,64,6037219901,5234,Los Angeles,90016,Los Angeles,-118.3605226,34.0297377,3125.62,7.83,100.42,74.8,69.90291262,1044,1.585298197,11.11769104,28846,3.08
65,65,6037534202,5790,Los Angeles,90201,Bell,-118.1611103,33.959603,713.01,8.08,48.15,75.4,86.82295877,1140,1.789005659,8.58553711,32883,4.66
66,66,6037540400,2384,Los Angeles,90059,Los Angeles,-118.2282398,33.9326754,2333.93,8.14,90.58,80.2,55.39419087,963,1.917012448,5.741802167,41447,5.35
67,67,6065046700,4442,Riverside ,92518,March Air Reserve Base,-117.278368,33.8891026,1258.41,8.32,66.89,67.8,81.16363636,1102,1.383272727,0.167061119,46589,3.04
68,68,6029002301,9743,Kern ,93307,Bakersfield,-118.9452577,35.3590376,509.04,7.64,86.67,76.3,51.19970469,899,1.646733112,1.64417892,27911,4.04
69,69,6071002501,5840,San Bernardino,92335,Fontana,-117.4772152,34.0743336,1666.33,8.62,69.46,50,48.41795438,1398,2.537895511,1.379038366,57517,4.55
70,70,6019008502,7929,Fresno ,93648,Parlier,-119.5507133,36.6214407,293.05,7.57,102.83,74.7,55.06053269,807,1.730266344,0.757454923,30712,4.15
71,71,6019000502,3606,Fresno ,93701,Fresno,-119.781537,36.7444057,982.2,7.45,124.96,80.7,81.0703667,688,1.089197225,3.457120413,31153,3.1
72,72,6037242100,2714,Los Angeles,90002,Los Angeles,-118.2336329,33.945396,832.63,7.89,88.42,87.2,100,524,0.88707483,6.471599191,14728,3.96
73,73,6037203500,3064,Los Angeles,90033,Los Angeles,-118.2185819,34.057226,3513.85,9.18,95.93,56.5,82.43534483,1011,1.242456897,2.298820352,34929,3.32
74,74,6037302401,5944,Los Angeles,91204,Glendale,-118.2597456,34.1316179,805.67,8.66,67.93,49.4,89.44241316,1173,1.331352834,6.457781558,35187,2.88
75,75,6067005301,1823,Sacramento ,95811,Sacramento,-121.4825199,38.5916037,1391.76,7.71,76.08,90.8,93.17073171,295,0.741463415,0.284734791,12355,2.21
76,76,6037204820,2274,Los Angeles,90023,Los Angeles,-118.2058412,34.0238161,3666.72,8.9,68.74,50.7,49.31506849,1056,1.690802348,6.459427084,40815,4.43
77,77,6037532302,4707,Los Angeles,90023,Los Angeles,-118.1751711,34.0096885,2580.34,9.11,61.9,60.2,59.48497854,1023,2.12360515,1.429023277,42390,4.17
78,78,6073004900,5028,San Diego,92113,San Diego,-117.138677,32.7018526,1565.15,7.68,127.1,72.6,81.93681319,983,1.387362637,7.595568713,31903,3.76
79,79,6037229420,4729,Los Angeles,90011,Los Angeles,-118.2608177,33.9925311,974.32,8.06,61.02,71.3,61.80094787,1089,1.615165877,7.308720287,31182,4.54
80,80,6037541001,1164,Los Angeles,90248,Gardena,-118.2749503,33.8934521,470.36,8.07,68.35,47.2,14.55696203,1056,1.791139241,0.490066563,40278,3.3
81,81,6099002200,6223,Stanislaus ,95351,Modesto,-121.0038051,37.6223838,953.39,7.27,92.45,76.4,71.89721159,895,1.592673592,2.45152626,27224,3.47
82,83,6073003902,4927,San Diego,92113,San Diego,-117.1263197,32.696749,1208.22,7.73,127.1,76.6,73.45207803,981,1.636980492,4.088402083,31398,4.07
83,84,6037239701,4261,Los Angeles,90003,Los Angeles,-118.2752632,33.966092,4775.03,6.99,95.56,79.2,70.37392138,989,1.474592522,10.30266389,30915,4.57
84,85,6077002300,5020,San Joaquin,95206,Stockton,-121.278407,37.9292396,367.83,7.13,128.15,74.9,70.30213707,862,1.675018423,2.636730597,28728,3.76
85,86,6037570301,7330,Los Angeles,90805,Long Beach,-118.1922187,33.8676075,1554.95,7.65,87.56,52.6,74.45091887,988,1.630210668,7.786838059,38528,3.5
86,87,6071012400,3617,San Bernardino,92408,San Bernardino,-117.2948174,34.0741251,1493.05,8.29,96.15,57.9,40.19607843,1054,1.822440087,0.436769612,35833,3.63
87,88,6037128302,4688,Los Angeles,91411,Van Nuys,-118.4605367,34.1838638,1595.64,7.46,66.93,71.6,82.90540541,1104,1.427702703,8.694453317,35313,3.41
88,89,6037242700,5273,Los Angeles,90059,Los Angeles,-118.2426486,33.9363535,2101.41,7.21,88.01,85.5,58.63486842,1167,1.908717105,4.847224787,34722,4.9
89,90,6065031300,2651,Riverside ,92504,Riverside,-117.4058257,33.9303688,2174.7,8.48,60.13,63.4,35.9375,1077,1.9171875,1.121184922,32604,4.33
90,91,6071007000,7898,San Bernardino,92324,Colton,-117.3134436,34.0744598,1325.15,7.5,88.8,66.9,58.17084494,1014,1.88718663,3.833260712,37698,3.19
91,92,6037533001,4527,Los Angeles,90001,Los Angeles,-118.24555,33.9802221,790.07,7.39,79.03,74.7,77.1563981,998,1.603791469,8.937997577,33013,4.2
92,93,6037121222,5293,Los Angeles,91352,Sun Valley,-118.3919494,34.2321411,2055.12,8.03,77.04,70.8,74.08026756,1270,1.975752508,3.625732071,47422,4.59
