id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
40,Modesto,Modesto,65.6,65.6,36.2,0.2,1.965267728,1.965267728,2.159377314,2.159377314,2.159377314,1090.88,1090.88,1090.88,79.42,79.42,79.42,
41,Fresno,Fresno,84.1,84.1,39.3,0.2,0.501945525,0.501945525,2.466194883,2.466194883,2.466194883,305.84,305.84,305.84,69.87,69.87,69.87,
42,Stockton,Stockton,75.5,75.5,40.7,0.1,1.678571429,1.678571429,2.004340274,2.004340274,2.004340274,824.07,824.07,824.07,94.01,94.01,94.01,
44,Los Angeles,Los Angeles,69.2,69.2,39.8,0.3,1.163103238,1.163103238,6.907334697,6.907334697,6.907334697,2658.05,2658.05,2658.05,95.89,95.89,95.89,
45,Los Angeles,Los Angeles,79.3,79.3,38.8,0.1,1.356415479,1.356415479,1.920250154,1.920250154,1.920250154,2289.68,2289.68,2289.68,87.25,87.25,87.25,
46,Los Angeles,Los Angeles,72.2,72.2,36.6,0.3,1.662583519,1.662583519,7.663397413,7.663397413,7.663397413,1289.16,1289.16,1289.16,72.52,72.52,72.52,
47,Fresno,Fresno,80.7,80.7,38.6,0.1,1.654385965,1.654385965,1.257613029,1.257613029,1.257613029,827.41,827.41,827.41,91.21,91.21,91.21,
48,Lathrop,Lathrop,34.7,34.7,34.3,0.1,2.385946513,2.385946513,0.20727371,0.20727371,0.20727371,1088.07,1088.07,1088.07,65.67,65.67,65.67,
49,Los Angeles,Los Angeles,76.1,76.1,30.5,0.1,1.333601286,1.333601286,7.657342966,7.657342966,7.657342966,2969.91,2969.91,2969.91,76.55,76.55,76.55,
50,Los Angeles,Los Angeles,54.3,54.3,42.8,0.3,1.84341637,1.84341637,2.150536865,2.150536865,2.150536865,1829.52,1829.52,1829.52,54.46,54.46,54.46,
51,San Diego,San Diego,82.8,82.8,37.7,0.1,1.339820359,1.339820359,1.851712702,1.851712702,1.851712702,1144.32,1144.32,1144.32,127.1,127.1,127.1,
53,Glendale,Glendale,49.9,49.9,37.5,0.1,1.355336477,1.355336477,4.185072306,4.185072306,4.185072306,2095.06,2095.06,2095.06,32.65,32.65,32.65,
54,Los Angeles,Los Angeles,65.6,65.6,41.9,0.2,1.624418605,1.624418605,5.920270227,5.920270227,5.920270227,1781.48,1781.48,1781.48,69.42,69.42,69.42,
55,Compton,Compton,62.9,62.9,39.2,0.2,2.11227154,2.11227154,1.53127451,1.53127451,1.53127451,1641.48,1641.48,1641.48,110.81,110.81,110.81,
56,Riverside,Riverside,64.8,64.8,36.6,0.4,1.949709865,1.949709865,1.088686543,1.088686543,1.088686543,1545.2,1545.2,1545.2,61.55,61.55,61.55,
,Colton,Colton,70,70,,,1.889857369,1.889857369,1.258685278,1.258685278,1.258685278,1617.04,1617.04,1617.04,95.84,95.84,95.84,
,Los Angeles,Los Angeles,65.6,65.6,,,1.778571429,1.778571429,7.051950732,7.051950732,7.051950732,3299.97,3299.97,3299.97,55.5,55.5,55.5,
,Fresno,Fresno,82.7,82.7,,,1.492339833,1.492339833,2.965867861,2.965867861,2.965867861,562.71,562.71,562.71,119.79,119.79,119.79,
,Fresno,Fresno,87.5,87.5,,,1.227635783,1.227635783,3.915127389,3.915127389,3.915127389,1119.37,1119.37,1119.37,115.44,115.44,115.44,
,Pomona,Pomona,71.8,71.8,,,1.71277533,1.71277533,2.545748216,2.545748216,2.545748216,648.27,648.27,648.27,66.33,66.33,66.33,
,Fresno,Fresno,81.4,81.4,,,1.319551507,1.319551507,4.415705599,4.415705599,4.415705599,365.32,365.32,365.32,116.56,116.56,116.56,
,Stockton,Stockton,68.3,68.3,,,1.544554455,1.544554455,1.482460023,1.482460023,1.482460023,318.32,318.32,318.32,128.15,128.15,128.15,
,Los Angeles,Los Angeles,47.7,47.7,,,1.418063315,1.418063315,0.52507026,0.52507026,0.52507026,1825.61,1825.61,1825.61,56.67,56.67,56.67,
,Fresno,Fresno,92.1,92.1,,,1.873584906,1.873584906,3.3334637,3.3334637,3.3334637,347.82,347.82,347.82,98.82,98.82,98.82,
,Bakersfield,Bakersfield,80.6,80.6,,,1.244186047,1.244186047,3.059807017,3.059807017,3.059807017,583.48,583.48,583.48,89.83,89.83,89.83,
,Los Angeles,Los Angeles,78.8,78.8,,,1.335315101,1.335315101,11.86022967,11.86022967,11.86022967,974.3,974.3,974.3,68.74,68.74,68.74,
,Long Beach,Long Beach,45.2,45.2,,,1.928282244,1.928282244,3.502328565,3.502328565,3.502328565,1191.12,1191.12,1191.12,87.58,87.58,87.58,
,Gardena,Gardena,53,53,,,1.94006734,1.94006734,4.836066364,4.836066364,4.836066364,2498.31,2498.31,2498.31,70.23,70.23,70.23,
,Los Angeles,Los Angeles,74.8,74.8,,,1.585298197,1.585298197,11.11769104,11.11769104,11.11769104,3125.62,3125.62,3125.62,100.42,100.42,100.42,
,Bell,Bell,75.4,75.4,,,1.789005659,1.789005659,8.58553711,8.58553711,8.58553711,713.01,713.01,713.01,48.15,48.15,48.15,
,Los Angeles,Los Angeles,80.2,80.2,,,1.917012448,1.917012448,5.741802167,5.741802167,5.741802167,2333.93,2333.93,2333.93,90.58,90.58,90.58,
,March Air Reserve Base,March Air Reserve Base,67.8,67.8,,,1.383272727,1.383272727,0.167061119,0.167061119,0.167061119,1258.41,1258.41,1258.41,66.89,66.89,66.89,
,Bakersfield,Bakersfield,76.3,76.3,,,1.646733112,1.646733112,1.64417892,1.64417892,1.64417892,509.04,509.04,509.04,86.67,86.67,86.67,
,Fontana,Fontana,50,50,,,2.537895511,2.537895511,1.379038366,1.379038366,1.379038366,1666.33,1666.33,1666.33,69.46,69.46,69.46,
,Parlier,Parlier,74.7,74.7,,,1.730266344,1.730266344,0.757454923,0.757454923,0.757454923,293.05,293.05,293.05,102.83,102.83,102.83,
,Fresno,Fresno,80.7,80.7,,,1.089197225,1.089197225,3.457120413,3.457120413,3.457120413,982.2,982.2,982.2,124.96,124.96,124.96,
,Los Angeles,Los Angeles,87.2,87.2,,,0.88707483,0.88707483,6.471599191,6.471599191,6.471599191,832.63,832.63,832.63,88.42,88.42,88.42,
,Los Angeles,Los Angeles,56.5,56.5,,,1.242456897,1.242456897,2.298820352,2.298820352,2.298820352,3513.85,3513.85,3513.85,95.93,95.93,95.93,
,Glendale,Glendale,49.4,49.4,,,1.331352834,1.331352834,6.457781558,6.457781558,6.457781558,805.67,805.67,805.67,67.93,67.93,67.93,
,Sacramento,Sacramento,90.8,90.8,,,0.741463415,0.741463415,0.284734791,0.284734791,0.284734791,1391.76,1391.76,1391.76,76.08,76.08,76.08,
,Los Angeles,Los Angeles,50.7,50.7,,,1.690802348,1.690802348,6.459427084,6.459427084,6.459427084,3666.72,3666.72,3666.72,68.74,68.74,68.74,
,Los Angeles,Los Angeles,60.2,60.2,,,2.12360515,2.12360515,1.429023277,1.429023277,1.429023277,2580.34,2580.34,2580.34,61.9,61.9,61.9,
,San Diego,San Diego,72.6,72.6,,,1.387362637,1.387362637,7.595568713,7.595568713,7.595568713,1565.15,1565.15,1565.15,127.1,127.1,127.1,
,Los Angeles,Los Angeles,71.3,71.3,,,1.615165877,1.615165877,7.308720287,7.308720287,7.308720287,974.32,974.32,974.32,61.02,61.02,61.02,
,Gardena,Gardena,47.2,47.2,,,1.791139241,1.791139241,0.490066563,0.490066563,0.490066563,470.36,470.36,470.36,68.35,68.35,68.35,
,Modesto,Modesto,76.4,76.4,,,1.592673592,1.592673592,2.45152626,2.45152626,2.45152626,953.39,953.39,953.39,92.45,92.45,92.45,
,San Diego,San Diego,76.6,76.6,,,1.636980492,1.636980492,4.088402083,4.088402083,4.088402083,1208.22,1208.22,1208.22,127.1,127.1,127.1,
,Los Angeles,Los Angeles,79.2,79.2,,,1.474592522,1.474592522,10.30266389,10.30266389,10.30266389,4775.03,4775.03,4775.03,95.56,95.56,95.56,
,Stockton,Stockton,74.9,74.9,,,1.675018423,1.675018423,2.636730597,2.636730597,2.636730597,367.83,367.83,367.83,128.15,128.15,128.15,
,Long Beach,Long Beach,52.6,52.6,,,1.630210668,1.630210668,7.786838059,7.786838059,7.786838059,1554.95,1554.95,1554.95,87.56,87.56,87.56,
,San Bernardino,San Bernardino,57.9,57.9,,,1.822440087,1.822440087,0.436769612,0.436769612,0.436769612,1493.05,1493.05,1493.05,96.15,96.15,96.15,
,Van Nuys,Van Nuys,71.6,71.6,,,1.427702703,1.427702703,8.694453317,8.694453317,8.694453317,1595.64,1595.64,1595.64,66.93,66.93,66.93,
,Los Angeles,Los Angeles,85.5,85.5,,,1.908717105,1.908717105,4.847224787,4.847224787,4.847224787,2101.41,2101.41,2101.41,88.01,88.01,88.01,
,Riverside,Riverside,63.4,63.4,,,1.9171875,1.9171875,1.121184922,1.121184922,1.121184922,2174.7,2174.7,2174.7,60.13,60.13,60.13,
,Colton,Colton,66.9,66.9,,,1.88718663,1.88718663,3.833260712,3.833260712,3.833260712,1325.15,1325.15,1325.15,88.8,88.8,88.8,
,Los Angeles,Los Angeles,74.7,74.7,,,1.603791469,1.603791469,8.937997577,8.937997577,8.937997577,790.07,790.07,790.07,79.03,79.03,79.03,
,Sun Valley,Sun Valley,70.8,70.8,,,1.975752508,1.975752508,3.625732071,3.625732071,3.625732071,2055.12,2055.12,2055.12,77.04,77.04,77.04,
,Los Angeles,Los Angeles,76.3,76.3,,,1.715736041,1.715736041,7.233950166,7.233950166,7.233950166,1005.81,1005.81,1005.81,78.89,78.89,78.89,
,Los Angeles,Los Angeles,77.2,77.2,,,1.511792453,1.511792453,8.12651891,8.12651891,8.12651891,4021.64,4021.64,4021.64,95.56,95.56,95.56,
,Long Beach,Long Beach,79.1,79.1,,,1.294117647,1.294117647,6.113777694,6.113777694,6.113777694,820.59,820.59,820.59,116.32,116.32,116.32,
,Stockton,Stockton,72.1,72.1,,,1.976133652,1.976133652,2.64759777,2.64759777,2.64759777,1319.02,1319.02,1319.02,128.15,128.15,128.15,
,Bell,Bell,70.9,70.9,,,1.834160874,1.834160874,7.989927689,7.989927689,7.989927689,2757.89,2757.89,2757.89,48.15,48.15,48.15,
,North Hollywood,North Hollywood,73.8,73.8,,,1.669194313,1.669194313,6.038820588,6.038820588,6.038820588,808.32,808.32,808.32,78.9,78.9,78.9,
