id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
,Rialto,Rialto,31.7,31.7,,,2.38569425,2.38569425,2.044024234,2.044024234,2.044024234,238.61,238.61,238.61,59.04,59.04,59.04,
,North Hollywood,North Hollywood,30.4,30.4,,,1.632583504,1.632583504,6.233735146,6.233735146,6.233735146,1355.59,1355.59,1355.59,50.18,50.18,50.18,
,Stockton,Stockton,39.5,39.5,,,1.763280522,1.763280522,2.783979153,2.783979153,2.783979153,1502,1502,1502,88.07,88.07,88.07,
,Porterville,Porterville,58.1,58.1,,,1.578528827,1.578528827,2.649994302,2.649994302,2.649994302,411.36,411.36,411.36,58.17,58.17,58.17,
,Santa Ana,Santa Ana,43.8,43.8,,,2.475123018,2.475123018,4.614363825,4.614363825,4.614363825,940,940,940,41.6,41.6,41.6,
,Sacramento,Sacramento,39.9,39.9,,,1.190095048,1.190095048,10.20637953,10.20637953,10.20637953,948.09,948.09,948.09,52.35,52.35,52.35,
,Clovis,Clovis,40.1,40.1,,,2.034789045,2.034789045,2.380677449,2.380677449,2.380677449,615.21,615.21,615.21,103.65,103.65,103.65,
,San Diego,San Diego,45.6,45.6,,,2.158485273,2.158485273,3.958612809,3.958612809,3.958612809,1151.82,1151.82,1151.82,53.72,53.72,53.72,
,Oakdale,Oakdale,28,28,,,1.880962996,1.880962996,2.215987618,2.215987618,2.215987618,741.83,741.83,741.83,54.17,54.17,54.17,
,Blythe,Blythe,69.7,69.7,,,1.358437936,1.358437936,1.481634564,1.481634564,1.481634564,332.09,332.09,332.09,90.04,90.04,90.04,
,Sacramento,Sacramento,55.8,55.8,,,1.310273973,1.310273973,4.586901164,4.586901164,4.586901164,1830.74,1830.74,1830.74,110.41,110.41,110.41,
,Canoga Park,Canoga Park,43.5,43.5,,,1.633952255,1.633952255,6.024376114,6.024376114,6.024376114,1152.35,1152.35,1152.35,43.68,43.68,43.68,
,Los Angeles,Los Angeles,20.1,20.1,,,1.7280046,1.7280046,5.95654758,5.95654758,5.95654758,1233.27,1233.27,1233.27,92.72,92.72,92.72,
,Hawthorne,Hawthorne,44.5,44.5,,,1.714424008,1.714424008,12.94703273,12.94703273,12.94703273,1019.47,1019.47,1019.47,78.54,78.54,78.54,
,South Gate,South Gate,70.9,70.9,,,1.407017544,1.407017544,8.845737148,8.845737148,8.845737148,924.08,924.08,924.08,28.53,28.53,28.53,
,La Puente,La Puente,43.7,43.7,,,2.606392694,2.606392694,4.482441349,4.482441349,4.482441349,650.55,650.55,650.55,68.67,68.67,68.67,
,San Francisco,San Francisco,49.1,49.1,,,0.970238095,0.970238095,9.341287669,9.341287669,9.341287669,2757.25,2757.25,2757.25,56.84,56.84,56.84,
,Moss Landing,Moss Landing,44.8,44.8,,,2.590438247,2.590438247,0.116921269,0.116921269,0.116921269,422.36,422.36,422.36,58.6,58.6,58.6,
,Redwood City,Redwood City,42.5,42.5,,,1.147342995,1.147342995,1.960696162,1.960696162,1.960696162,1226.54,1226.54,1226.54,71.93,71.93,71.93,
,Corcoran,Corcoran,62.4,62.4,,,1.724546722,1.724546722,1.961312174,1.961312174,1.961312174,205.68,205.68,205.68,81.7,81.7,81.7,
,Los Angeles,Los Angeles,37.4,37.4,,,1.276279797,1.276279797,11.46737385,11.46737385,11.46737385,648.83,648.83,648.83,78.81,78.81,78.81,
,Harbor City,Harbor City,44.3,44.3,,,1.775761974,1.775761974,9.792126299,9.792126299,9.792126299,1063.34,1063.34,1063.34,41.26,41.26,41.26,
,Costa Mesa,Costa Mesa,68.7,68.7,,,1.590880304,1.590880304,8.164167785,8.164167785,8.164167785,852.56,852.56,852.56,45.2,45.2,45.2,
,Moreno Valley,Moreno Valley,34.3,34.3,,,2.045605307,2.045605307,4.956464282,4.956464282,4.956464282,822.63,822.63,822.63,59.49,59.49,59.49,
,Hilmar,Hilmar,35.6,35.6,,,2.182264283,2.182264283,0.097303431,0.097303431,0.097303431,405.86,405.86,405.86,43.31,43.31,43.31,
,Inglewood,Inglewood,35.7,35.7,,,2.029112082,2.029112082,2.329302292,2.329302292,2.329302292,1012.87,1012.87,1012.87,93.59,93.59,93.59,
,Long Beach,Long Beach,46.6,46.6,,,2.344947735,2.344947735,2.489629672,2.489629672,2.489629672,2869.97,2869.97,2869.97,55.45,55.45,55.45,
,Essex,Essex,57.5,57.5,,,1.454263566,1.454263566,0.00036094,0.00036094,0.00036094,142.85,142.85,142.85,249.59,249.59,249.59,
,Chatsworth,Chatsworth,48.8,48.8,,,1.708396947,1.708396947,3.619841154,3.619841154,3.619841154,1279.45,1279.45,1279.45,35.68,35.68,35.68,
,Garden Grove,Garden Grove,39.6,39.6,,,2.303946264,2.303946264,3.677338053,3.677338053,3.677338053,916.12,916.12,916.12,46.93,46.93,46.93,
,San Francisco,San Francisco,39.5,39.5,,,1.4494659,1.4494659,9.232242097,9.232242097,9.232242097,1976.56,1976.56,1976.56,58.9,58.9,58.9,
,Burbank,Burbank,20.7,20.7,,,1.995970991,1.995970991,3.570036917,3.570036917,3.570036917,1288.29,1288.29,1288.29,38.09,38.09,38.09,
,Chino,Chino,31.9,31.9,,,2.358391608,2.358391608,2.674140388,2.674140388,2.674140388,1858.21,1858.21,1858.21,50.73,50.73,50.73,
,Norco,Norco,25.1,25.1,,,2.441546763,2.441546763,1.312857337,1.312857337,1.312857337,1100.26,1100.26,1100.26,36.22,36.22,36.22,
,Wasco,Wasco,56.6,56.6,,,1.673913043,1.673913043,2.840825719,2.840825719,2.840825719,380.56,380.56,380.56,38.16,38.16,38.16,
,Lancaster,Lancaster,55.4,55.4,,,1.423878711,1.423878711,3.059326407,3.059326407,3.059326407,855.01,855.01,855.01,154.14,154.14,154.14,
,Pacoima,Pacoima,39.8,39.8,,,2.664516129,2.664516129,3.9299107,3.9299107,3.9299107,957.63,957.63,957.63,69.56,69.56,69.56,
,Rosemead,Rosemead,40.1,40.1,,,2.251402918,2.251402918,3.326409428,3.326409428,3.326409428,2757.37,2757.37,2757.37,34.43,34.43,34.43,
,Los Angeles,Los Angeles,39.1,39.1,,,1.16726297,1.16726297,15.55420799,15.55420799,15.55420799,707.33,707.33,707.33,38.92,38.92,38.92,
,Los Angeles,Los Angeles,47.5,47.5,,,1.171829822,1.171829822,17.27711497,17.27711497,17.27711497,1405.19,1405.19,1405.19,27.79,27.79,27.79,
,Reseda,Reseda,43.6,43.6,,,1.628881988,1.628881988,8.483063716,8.483063716,8.483063716,1382.79,1382.79,1382.79,75.99,75.99,75.99,
,Oroville,Oroville,69.3,69.3,,,1.577205882,1.577205882,0.263812596,0.263812596,0.263812596,305,305,305,86.45,86.45,86.45,
,Riverside,Riverside,23.9,23.9,,,1.99009434,1.99009434,4.077267159,4.077267159,4.077267159,436.17,436.17,436.17,58.93,58.93,58.93,
,Santa Ana,Santa Ana,53.2,53.2,,,2.697378277,2.697378277,4.741118711,4.741118711,4.741118711,945.72,945.72,945.72,41.78,41.78,41.78,
,Modesto,Modesto,41.9,41.9,,,1.693220339,1.693220339,2.234852135,2.234852135,2.234852135,410.03,410.03,410.03,48.43,48.43,48.43,
,Sylmar,Sylmar,26.2,26.2,,,2.311173975,2.311173975,2.571399472,2.571399472,2.571399472,2936.33,2936.33,2936.33,59.37,59.37,59.37,
,Antioch,Antioch,76.1,76.1,,,1.266621894,1.266621894,8.560256441,8.560256441,8.560256441,1154.8,1154.8,1154.8,178.9,178.9,178.9,
,Northridge,Northridge,32.7,32.7,,,1.831419624,1.831419624,4.462576345,4.462576345,4.462576345,1516.2,1516.2,1516.2,45.03,45.03,45.03,
,San Bernardino,San Bernardino,65.9,65.9,,,1.425566343,1.425566343,3.848938186,3.848938186,3.848938186,421.59,421.59,421.59,53.96,53.96,53.96,
,Redwood City,Redwood City,55.2,55.2,,,2.033381713,2.033381713,4.671896672,4.671896672,4.671896672,294.85,294.85,294.85,73.68,73.68,73.68,
,Los Angeles,Los Angeles,35.5,35.5,,,1.27284264,1.27284264,13.11134321,13.11134321,13.11134321,1065.4,1065.4,1065.4,43.42,43.42,43.42,
,West Sacramento,West Sacramento,41.8,41.8,,,1.682743029,1.682743029,1.813680608,1.813680608,1.813680608,842.65,842.65,842.65,61.05,61.05,61.05,
,San Francisco,San Francisco,22.9,22.9,,,1.931092437,1.931092437,11.77028879,11.77028879,11.77028879,462.61,462.61,462.61,135.72,135.72,135.72,
,Willows,Willows,43.9,43.9,,,1.821576763,1.821576763,0.468861934,0.468861934,0.468861934,228.52,228.52,228.52,60.7,60.7,60.7,
,Sacramento,Sacramento,70.6,70.6,,,1.543217666,1.543217666,3.154510392,3.154510392,3.154510392,617.46,617.46,617.46,89.94,89.94,89.94,
,Santa Monica,Santa Monica,21.4,21.4,,,1.275379939,1.275379939,10.13954689,10.13954689,10.13954689,1127.96,1127.96,1127.96,57.47,57.47,57.47,
,Whittier,Whittier,20,20,,,2.572815534,2.572815534,4.678844067,4.678844067,4.678844067,561.06,561.06,561.06,70.34,70.34,70.34,
,Fontana,Fontana,19.6,19.6,,,2.394658754,2.394658754,2.047499709,2.047499709,2.047499709,532.54,532.54,532.54,38.85,38.85,38.85,
,Reseda,Reseda,32,32,,,2.028593509,2.028593509,4.419736059,4.419736059,4.419736059,1212.97,1212.97,1212.97,52.99,52.99,52.99,
,Martinez,Martinez,47.3,47.3,,,1.184946237,1.184946237,1.237157733,1.237157733,1.237157733,139.94,139.94,139.94,78.96,78.96,78.96,
,Anaheim,Anaheim,43.1,43.1,,,2.241077441,2.241077441,4.604764811,4.604764811,4.604764811,1120.03,1120.03,1120.03,62.05,62.05,62.05,
,Tracy,Tracy,47.4,47.4,,,1.847712418,1.847712418,4.585863483,4.585863483,4.585863483,468.72,468.72,468.72,114.99,114.99,114.99,
,Santee,Santee,37.6,37.6,,,1.764264264,1.764264264,3.053684034,3.053684034,3.053684034,753.6,753.6,753.6,38.81,38.81,38.81,
,Oakland,Oakland,66.5,66.5,,,0.645259939,0.645259939,8.300814152,8.300814152,8.300814152,765.85,765.85,765.85,117.49,117.49,117.49,
,Lodi,Lodi,27.8,27.8,,,2.197694278,2.197694278,0.161009125,0.161009125,0.161009125,638.78,638.78,638.78,40.17,40.17,40.17,
,Los Angeles,Los Angeles,50.3,50.3,,,1.156462585,1.156462585,28.79144383,28.79144383,28.79144383,1535.93,1535.93,1535.93,43.98,43.98,43.98,
,San Francisco,San Francisco,39,39,,,1.56267672,1.56267672,12.58997045,12.58997045,12.58997045,203.65,203.65,203.65,58.91,58.91,58.91,
,Palo Alto,Palo Alto,43.9,43.9,,,2.5625,2.5625,0.741139915,0.741139915,0.741139915,696.4,696.4,696.4,46.67,46.67,46.67,
,Madera,Madera,73.7,73.7,,,1.510088781,1.510088781,2.839964752,2.839964752,2.839964752,335.27,335.27,335.27,114.94,114.94,114.94,
,Merced,Merced,59.9,59.9,,,1.065664997,1.065664997,3.537362406,3.537362406,3.537362406,481.16,481.16,481.16,86.34,86.34,86.34,
,San Francisco,San Francisco,28.3,28.3,,,1.330648409,1.330648409,12.59593907,12.59593907,12.59593907,2561.61,2561.61,2561.61,50.73,50.73,50.73,
,Sacramento,Sacramento,56.4,56.4,,,1.67962963,1.67962963,3.798820778,3.798820778,3.798820778,1743.68,1743.68,1743.68,52.51,52.51,52.51,
,Nuevo,Nuevo,33.8,33.8,,,2.515533981,2.515533981,0.113799965,0.113799965,0.113799965,476.59,476.59,476.59,46.19,46.19,46.19,
,Los Angeles,Los Angeles,37,37,,,1.541666667,1.541666667,5.847390891,5.847390891,5.847390891,1080.6,1080.6,1080.6,31.45,31.45,31.45,
,Riverside,Riverside,48.8,48.8,,,2.545454545,2.545454545,3.200028469,3.200028469,3.200028469,307.41,307.41,307.41,58.93,58.93,58.93,
,Placentia,Placentia,16.1,16.1,,,1.679513185,1.679513185,2.85866844,2.85866844,2.85866844,2646.28,2646.28,2646.28,39.68,39.68,39.68,
,West Covina,West Covina,37.4,37.4,,,2.604669261,2.604669261,3.269987449,3.269987449,3.269987449,590.65,590.65,590.65,38.43,38.43,38.43,
,Santa Ana,Santa Ana,62.8,62.8,,,2.298545766,2.298545766,3.861885301,3.861885301,3.861885301,976.67,976.67,976.67,50.82,50.82,50.82,
,Alhambra,Alhambra,34.7,34.7,,,2.151464435,2.151464435,4.430170675,4.430170675,4.430170675,795,795,795,30.6,30.6,30.6,
,Oxnard,Oxnard,41.1,41.1,,,2.736141907,2.736141907,0.9365315,0.9365315,0.9365315,508.26,508.26,508.26,33.26,33.26,33.26,
,Oakland,Oakland,67.5,67.5,,,1.391674551,1.391674551,9.451275425,9.451275425,9.451275425,235.29,235.29,235.29,95.23,95.23,95.23,
,Reseda,Reseda,39.5,39.5,,,2.009966777,2.009966777,6.792622244,6.792622244,6.792622244,934.85,934.85,934.85,75.99,75.99,75.99,
,Los Angeles,Los Angeles,26.5,26.5,,,1.337002096,1.337002096,12.36656957,12.36656957,12.36656957,1713.57,1713.57,1713.57,51.93,51.93,51.93,
,Winnetka,Winnetka,44.1,44.1,,,2.320729237,2.320729237,5.623506244,5.623506244,5.623506244,1162.38,1162.38,1162.38,53.58,53.58,53.58,
,Los Angeles,Los Angeles,42,42,,,1.702852615,1.702852615,2.002376238,2.002376238,2.002376238,1729.07,1729.07,1729.07,36.36,36.36,36.36,
,Los Angeles,Los Angeles,68.3,68.3,,,1.428571429,1.428571429,8.381801406,8.381801406,8.381801406,787.32,787.32,787.32,66.51,66.51,66.51,
,Chula Vista,Chula Vista,52.9,52.9,,,1.47037037,1.47037037,8.527994271,8.527994271,8.527994271,528.6,528.6,528.6,57.45,57.45,57.45,
,Pittsburg,Pittsburg,48.1,48.1,,,2.331213873,2.331213873,1.377715833,1.377715833,1.377715833,331.3,331.3,331.3,150.18,150.18,150.18,
,Mira Loma,Mira Loma,52.8,52.8,,,2.527568922,2.527568922,1.236833746,1.236833746,1.236833746,331.08,331.08,331.08,43.34,43.34,43.34,
,Anaheim,Anaheim,59.5,59.5,,,1.495736906,1.495736906,7.601483744,7.601483744,7.601483744,697.1,697.1,697.1,62.05,62.05,62.05,
,Arvin,Arvin,62.6,62.6,,,2.03346856,2.03346856,0.25208145,0.25208145,0.25208145,257.72,257.72,257.72,29.95,29.95,29.95,
,Sylmar,Sylmar,36.7,36.7,,,2.42310757,2.42310757,5.105329733,5.105329733,5.105329733,556.19,556.19,556.19,59.2,59.2,59.2,
,Salinas,Salinas,86.3,86.3,,,1.209459459,1.209459459,3.876000033,3.876000033,3.876000033,493.73,493.73,493.73,108.24,108.24,108.24,
,Moreno Valley,Moreno Valley,51.6,51.6,,,2.050679852,2.050679852,2.529951756,2.529951756,2.529951756,572.62,572.62,572.62,62.3,62.3,62.3,
,San Jose,San Jose,38.2,38.2,,,2.208863537,2.208863537,6.431004504,6.431004504,6.431004504,678.97,678.97,678.97,49.3,49.3,49.3,
,Dinuba,Dinuba,52.3,52.3,,,1.955450237,1.955450237,3.27003927,3.27003927,3.27003927,449.45,449.45,449.45,42.92,42.92,42.92,
,West Covina,West Covina,28.4,28.4,,,2.453887884,2.453887884,3.686748053,3.686748053,3.686748053,602.12,602.12,602.12,31.54,31.54,31.54,
,Riverside,Riverside,41.8,41.8,,,2.109782609,2.109782609,2.416768248,2.416768248,2.416768248,383.47,383.47,383.47,55.89,55.89,55.89,
,Downey,Downey,35.7,35.7,,,2.209736124,2.209736124,3.773045641,3.773045641,3.773045641,908.04,908.04,908.04,39.25,39.25,39.25,
,Los Angeles,Los Angeles,25.6,25.6,,,1.203443878,1.203443878,34.76756624,34.76756624,34.76756624,1855.57,1855.57,1855.57,26.28,26.28,26.28,
,Lancaster,Lancaster,74.2,74.2,,,0.904040404,0.904040404,4.461898061,4.461898061,4.461898061,701.72,701.72,701.72,154.14,154.14,154.14,
,Chino Hills,Chino Hills,34.5,34.5,,,2.223061284,2.223061284,2.406860334,2.406860334,2.406860334,651.09,651.09,651.09,27.34,27.34,27.34,
,Culver City,Culver City,12.7,12.7,,,1.787437415,1.787437415,4.109838414,4.109838414,4.109838414,1879.47,1879.47,1879.47,41.05,41.05,41.05,
,Lodi,Lodi,35.7,35.7,,,1.992116434,1.992116434,1.535373451,1.535373451,1.535373451,684.59,684.59,684.59,48.82,48.82,48.82,
,Visalia,Visalia,67.6,67.6,,,1.35625,1.35625,3.501151881,3.501151881,3.501151881,674.59,674.59,674.59,55.19,55.19,55.19,
,North Hills,North Hills,23.7,23.7,,,2.628378378,2.628378378,1.650985695,1.650985695,1.650985695,2614.32,2614.32,2614.32,80.01,80.01,80.01,
,Los Angeles,Los Angeles,60.1,60.1,,,1.682602922,1.682602922,6.911986731,6.911986731,6.911986731,795.45,795.45,795.45,66.51,66.51,66.51,
,Anaheim,Anaheim,31,31,,,2.224871435,2.224871435,4.374495843,4.374495843,4.374495843,874.54,874.54,874.54,51.52,51.52,51.52,
,Whittier,Whittier,21.2,21.2,,,2.002437043,2.002437043,4.964822445,4.964822445,4.964822445,499.75,499.75,499.75,64.02,64.02,64.02,
,Oakland,Oakland,54.3,54.3,,,1.560455897,1.560455897,10.96119003,10.96119003,10.96119003,598.83,598.83,598.83,88.63,88.63,88.63,
,Palmdale,Palmdale,88.4,88.4,,,1.261382799,1.261382799,1.910814136,1.910814136,1.910814136,950.1,950.1,950.1,76.68,76.68,76.68,
,Santa Ana,Santa Ana,67.9,67.9,,,2.307017544,2.307017544,6.000215826,6.000215826,6.000215826,829.39,829.39,829.39,29.76,29.76,29.76,
,Stockton,Stockton,51.4,51.4,,,1.73452256,1.73452256,5.244716233,5.244716233,5.244716233,1693.34,1693.34,1693.34,44.91,44.91,44.91,
,Los Angeles,Los Angeles,51.6,51.6,,,0.8919233,0.8919233,44.30777575,44.30777575,44.30777575,1394.99,1394.99,1394.99,38.64,38.64,38.64,
,Winnetka,Winnetka,35.1,35.1,,,2.038255547,2.038255547,5.081336465,5.081336465,5.081336465,1204.8,1204.8,1204.8,63.65,63.65,63.65,
,Corona,Corona,24,24,,,2.377454085,2.377454085,1.706393842,1.706393842,1.706393842,3063.84,3063.84,3063.84,30.36,30.36,30.36,
,Fresno,Fresno,30.5,30.5,,,1.748695004,1.748695004,1.857937079,1.857937079,1.857937079,557.95,557.95,557.95,55.19,55.19,55.19,
,Los Angeles,Los Angeles,36.4,36.4,,,1.471137521,1.471137521,7.963909557,7.963909557,7.963909557,1044.97,1044.97,1044.97,56.71,56.71,56.71,
,Tracy,Tracy,38.5,38.5,,,2.080203046,2.080203046,3.391798006,3.391798006,3.391798006,463.61,463.61,463.61,114.99,114.99,114.99,
,Anaheim,Anaheim,18.9,18.9,,,2.633636364,2.633636364,3.06368031,3.06368031,3.06368031,3573.02,3573.02,3573.02,64.35,64.35,64.35,
,Canoga Park,Canoga Park,25.5,25.5,,,2.088975937,2.088975937,4.604062434,4.604062434,4.604062434,1003.75,1003.75,1003.75,45.23,45.23,45.23,
,Irvine,Irvine,25.4,25.4,,,1.843507752,1.843507752,1.615523414,1.615523414,1.615523414,2538.97,2538.97,2538.97,28.19,28.19,28.19,
,San Jose,San Jose,23,23,,,2.601510859,2.601510859,3.292510821,3.292510821,3.292510821,1674.62,1674.62,1674.62,39.13,39.13,39.13,
,Alameda,Alameda,30.3,30.3,,,1.541791942,1.541791942,5.061366959,5.061366959,5.061366959,954.43,954.43,954.43,61.42,61.42,61.42,
,Chico,Chico,65.9,65.9,,,1.586345382,1.586345382,2.851382515,2.851382515,2.851382515,663.84,663.84,663.84,42.95,42.95,42.95,
,Yuba City,Yuba City,46.6,46.6,,,1.797533402,1.797533402,0.900409691,0.900409691,0.900409691,413.11,413.11,413.11,20.42,20.42,20.42,
,Fresno,Fresno,37.7,37.7,,,2.436464088,2.436464088,0.610369233,0.610369233,0.610369233,290.68,290.68,290.68,61.71,61.71,61.71,
,Riverside,Riverside,39.7,39.7,,,1.913664596,1.913664596,2.494107345,2.494107345,2.494107345,1308.41,1308.41,1308.41,59.09,59.09,59.09,
,Los Angeles,Los Angeles,48.2,48.2,,,1.25041006,1.25041006,20.72403046,20.72403046,20.72403046,1306.84,1306.84,1306.84,38.64,38.64,38.64,
,La Mesa,La Mesa,33.1,33.1,,,1.413601369,1.413601369,5.041795713,5.041795713,5.041795713,1201.13,1201.13,1201.13,75.31,75.31,75.31,
,Burbank,Burbank,21.6,21.6,,,2.237547893,2.237547893,3.097750038,3.097750038,3.097750038,970.37,970.37,970.37,40.63,40.63,40.63,
,Hesperia,Hesperia,73.9,73.9,,,1.624228395,1.624228395,1.327328801,1.327328801,1.327328801,575.58,575.58,575.58,69.09,69.09,69.09,
,North Highlands,North Highlands,53.3,53.3,,,1.970610982,1.970610982,2.413576782,2.413576782,2.413576782,629.81,629.81,629.81,116.45,116.45,116.45,
,Westminster,Westminster,47.5,47.5,,,1.757378985,1.757378985,5.209556291,5.209556291,5.209556291,818.31,818.31,818.31,32.81,32.81,32.81,
,San Ysidro,San Ysidro,63.5,63.5,,,1.649438202,1.649438202,8.581038328,8.581038328,8.581038328,850.25,850.25,850.25,59.8,59.8,59.8,
,Temple City,Temple City,33,33,,,1.896779521,1.896779521,4.76295368,4.76295368,4.76295368,823.15,823.15,823.15,22.77,22.77,22.77,
,Stockton,Stockton,26.4,26.4,,,1.688127584,1.688127584,4.164013361,4.164013361,4.164013361,2042.2,2042.2,2042.2,39.06,39.06,39.06,
,Bloomington,Bloomington,47.4,47.4,,,2.905222437,2.905222437,3.223342344,3.223342344,3.223342344,380.75,380.75,380.75,45.14,45.14,45.14,
,Azusa,Azusa,56.4,56.4,,,2.14951989,2.14951989,4.569135546,4.569135546,4.569135546,1782.66,1782.66,1782.66,61.31,61.31,61.31,
,Sherman Oaks,Sherman Oaks,19.4,19.4,,,1.608010955,1.608010955,9.269094793,9.269094793,9.269094793,4000.17,4000.17,4000.17,38.56,38.56,38.56,
,Newark,Newark,29.2,29.2,,,2.057899902,2.057899902,4.209451172,4.209451172,4.209451172,1413.37,1413.37,1413.37,73.21,73.21,73.21,
,Hinkley,Hinkley,35,35,,,2.056705671,2.056705671,0.012516981,0.012516981,0.012516981,378.91,378.91,378.91,139.41,139.41,139.41,
,Apple Valley,Apple Valley,36.9,36.9,,,2.037332006,2.037332006,0.079182194,0.079182194,0.079182194,568.41,568.41,568.41,98.56,98.56,98.56,
,San Jose,San Jose,60.5,60.5,,,1.66889881,1.66889881,4.878633358,4.878633358,4.878633358,2073.77,2073.77,2073.77,47.72,47.72,47.72,
,La Puente,La Puente,42.3,42.3,,,2.378181818,2.378181818,3.921185122,3.921185122,3.921185122,558.37,558.37,558.37,47.99,47.99,47.99,
,Oakland,Oakland,59,59,,,1.391921397,1.391921397,7.607384267,7.607384267,7.607384267,276.41,276.41,276.41,97,97,97,
,Meridian,Meridian,45.3,45.3,,,2.069466882,2.069466882,0.005201501,0.005201501,0.005201501,69.33,69.33,69.33,80.73,80.73,80.73,
,Downey,Downey,48.5,48.5,,,1.64904387,1.64904387,4.702259223,4.702259223,4.702259223,906.78,906.78,906.78,45.31,45.31,45.31,
,Riverside,Riverside,39.8,39.8,,,2.128010139,2.128010139,0.837897144,0.837897144,0.837897144,1465.89,1465.89,1465.89,36.64,36.64,36.64,
,Garden Grove,Garden Grove,58.9,58.9,,,1.970588235,1.970588235,3.787725318,3.787725318,3.787725318,686.31,686.31,686.31,37.06,37.06,37.06,
,Rio Linda,Rio Linda,44.8,44.8,,,2.077104642,2.077104642,0.476865331,0.476865331,0.476865331,354.01,354.01,354.01,66.64,66.64,66.64,
,Lemoore,Lemoore,33.5,33.5,,,2.122030238,2.122030238,0.112940953,0.112940953,0.112940953,280.34,280.34,280.34,78.16,78.16,78.16,
,Riverside,Riverside,31.9,31.9,,,1.963677639,1.963677639,1.253797052,1.253797052,1.253797052,2067.3,2067.3,2067.3,62.36,62.36,62.36,
,Pittsburg,Pittsburg,48.8,48.8,,,2.201633166,2.201633166,3.728007931,3.728007931,3.728007931,1385.06,1385.06,1385.06,150.18,150.18,150.18,
,Stockton,Stockton,46.7,46.7,,,1.848837209,1.848837209,3.784505885,3.784505885,3.784505885,1111.17,1111.17,1111.17,69.05,69.05,69.05,
,Montebello,Montebello,24.2,24.2,,,2.015668203,2.015668203,4.374354679,4.374354679,4.374354679,859.17,859.17,859.17,54.54,54.54,54.54,
,Madera,Madera,25.9,25.9,,,1.825140809,1.825140809,1.885506712,1.885506712,1.885506712,410.12,410.12,410.12,92.25,92.25,92.25,
,El Cajon,El Cajon,63.5,63.5,,,1.50248139,1.50248139,7.485167021,7.485167021,7.485167021,867.52,867.52,867.52,43.87,43.87,43.87,
,Grass Valley,Grass Valley,60.6,60.6,,,1.474325214,1.474325214,0.831169418,0.831169418,0.831169418,451.8,451.8,451.8,84.61,84.61,84.61,
,Santa Ana,Santa Ana,40.2,40.2,,,2.443262411,2.443262411,3.907334793,3.907334793,3.907334793,985.57,985.57,985.57,41.34,41.34,41.34,
,Corcoran,Corcoran,67.4,67.4,,,1.80861244,1.80861244,1.554608897,1.554608897,1.554608897,170.41,170.41,170.41,81.7,81.7,81.7,
,San Jose,San Jose,60.5,60.5,,,1.673733804,1.673733804,7.764769814,7.764769814,7.764769814,404.38,404.38,404.38,30.21,30.21,30.21,
,San Diego,San Diego,38.3,38.3,,,1.329566855,1.329566855,11.10324966,11.10324966,11.10324966,1783.1,1783.1,1783.1,96.4,96.4,96.4,
,Los Angeles,Los Angeles,59.2,59.2,,,0.979881657,0.979881657,49.57161846,49.57161846,49.57161846,1643.6,1643.6,1643.6,35.46,35.46,35.46,
,Banning,Banning,63.7,63.7,,,1.807716635,1.807716635,1.567878757,1.567878757,1.567878757,684.28,684.28,684.28,96.29,96.29,96.29,
,Cerritos,Cerritos,13.4,13.4,,,2.323278689,2.323278689,2.86552706,2.86552706,2.86552706,1748.1,1748.1,1748.1,37.72,37.72,37.72,
,San Jose,San Jose,50.7,50.7,,,1.404674945,1.404674945,8.341458743,8.341458743,8.341458743,1931.44,1931.44,1931.44,64.68,64.68,64.68,
,Reedley,Reedley,39.4,39.4,,,1.877344877,1.877344877,1.514985401,1.514985401,1.514985401,279.94,279.94,279.94,63.19,63.19,63.19,
,El Cajon,El Cajon,24.4,24.4,,,1.990532544,1.990532544,1.834686594,1.834686594,1.834686594,1594.4,1594.4,1594.4,49.08,49.08,49.08,
,Santa Ana,Santa Ana,40.4,40.4,,,2.276268116,2.276268116,3.564658639,3.564658639,3.564658639,963.49,963.49,963.49,46.21,46.21,46.21,
,Coachella,Coachella,65.8,65.8,,,2.053012048,2.053012048,2.178375511,2.178375511,2.178375511,370.09,370.09,370.09,42.34,42.34,42.34,
,Rancho Cordova,Rancho Cordova,43.2,43.2,,,1.431806992,1.431806992,3.704917567,3.704917567,3.704917567,1216.48,1216.48,1216.48,62.47,62.47,62.47,
,Riverside,Riverside,36,36,,,1.997214485,1.997214485,3.863861986,3.863861986,3.863861986,1076.68,1076.68,1076.68,41.65,41.65,41.65,
,Oakley,Oakley,29.1,29.1,,,2.34322453,2.34322453,1.890816113,1.890816113,1.890816113,607.15,607.15,607.15,87.03,87.03,87.03,
,Santa Barbara,Santa Barbara,54.5,54.5,,,1.794964029,1.794964029,2.816928753,2.816928753,2.816928753,891.95,891.95,891.95,45.53,45.53,45.53,
,Pasadena,Pasadena,56.5,56.5,,,1.329225352,1.329225352,8.987138696,8.987138696,8.987138696,770.92,770.92,770.92,51.2,51.2,51.2,
,Fairfield,Fairfield,54.4,54.4,,,1.694852941,1.694852941,5.043574322,5.043574322,5.043574322,597.66,597.66,597.66,119.73,119.73,119.73,
