id,state,abbr,pollution,poverty,ageMoe,cars,density,traffic,asthma,-0.385218228
,Fontana,Fontana,8.62,50,,2.537895511,1.379038366,1666.33,69.46,
,Parlier,Parlier,7.57,74.7,,1.730266344,0.757454923,293.05,102.83,
,Fresno,Fresno,7.45,80.7,,1.089197225,3.457120413,982.2,124.96,
,Los Angeles,Los Angeles,7.89,87.2,,0.88707483,6.471599191,832.63,88.42,
,Los Angeles,Los Angeles,9.18,56.5,,1.242456897,2.298820352,3513.85,95.93,
,Glendale,Glendale,8.66,49.4,,1.331352834,6.457781558,805.67,67.93,
,Sacramento,Sacramento,7.71,90.8,,0.741463415,0.284734791,1391.76,76.08,
,Los Angeles,Los Angeles,8.9,50.7,,1.690802348,6.459427084,3666.72,68.74,
,Los Angeles,Los Angeles,9.11,60.2,,2.12360515,1.429023277,2580.34,61.9,
,San Diego,San Diego,7.68,72.6,,1.387362637,7.595568713,1565.15,127.1,
,Los Angeles,Los Angeles,8.06,71.3,,1.615165877,7.308720287,974.32,61.02,
,Gardena,Gardena,8.07,47.2,,1.791139241,0.490066563,470.36,68.35,
,Modesto,Modesto,7.27,76.4,,1.592673592,2.45152626,953.39,92.45,
,San Diego,San Diego,7.73,76.6,,1.636980492,4.088402083,1208.22,127.1,
,Los Angeles,Los Angeles,6.99,79.2,,1.474592522,10.30266389,4775.03,95.56,
,Stockton,Stockton,7.13,74.9,,1.675018423,2.636730597,367.83,128.15,
,Long Beach,Long Beach,7.65,52.6,,1.630210668,7.786838059,1554.95,87.56,
,San Bernardino,San Bernardino,8.29,57.9,,1.822440087,0.436769612,1493.05,96.15,
,Van Nuys,Van Nuys,7.46,71.6,,1.427702703,8.694453317,1595.64,66.93,
,Los Angeles,Los Angeles,7.21,85.5,,1.908717105,4.847224787,2101.41,88.01,
,Riverside,Riverside,8.48,63.4,,1.9171875,1.121184922,2174.7,60.13,
,Colton,Colton,7.5,66.9,,1.88718663,3.833260712,1325.15,88.8,
,Los Angeles,Los Angeles,7.39,74.7,,1.603791469,8.937997577,790.07,79.03,
,Sun Valley,Sun Valley,8.03,70.8,,1.975752508,3.625732071,2055.12,77.04,
,Los Angeles,Los Angeles,7.52,76.3,,1.715736041,7.233950166,1005.81,78.89,
,Los Angeles,Los Angeles,7.21,77.2,,1.511792453,8.12651891,4021.64,95.56,
,Long Beach,Long Beach,7.42,79.1,,1.294117647,6.113777694,820.59,116.32,
,Stockton,Stockton,7.22,72.1,,1.976133652,2.64759777,1319.02,128.15,
,Bell,Bell,9.06,70.9,,1.834160874,7.989927689,2757.89,48.15,
,North Hollywood,North Hollywood,7.44,73.8,,1.669194313,6.038820588,808.32,78.9,
,Los Angeles,Los Angeles,7.09,73,,1.324144487,8.754957665,3720.67,95.56,
,Long Beach,Long Beach,7.38,91.5,,1.14973262,0.704106045,595.7,72.09,
,San Diego,San Diego,7.47,74.5,,1.900420757,3.215611351,1703.39,125.77,
,Los Angeles,Los Angeles,8.16,76.2,,1.910677618,3.928573875,530.13,65.14,
,Torrance,Torrance,8.82,56.7,,1.723135965,1.844909534,2511.49,59.49,
,El Monte,El Monte,9.16,63.6,,2.12055336,3.706079169,971.38,56.43,
,Sun Valley,Sun Valley,8.57,55.4,,1.797153025,2.235703858,1625.33,77.04,
,Modesto,Modesto,8.54,54.6,,2.12184466,0.761324182,650.75,83.51,
,Los Angeles,Los Angeles,7.1,88.1,,0.971183801,10.91646464,3279.99,105.29,
,Stockton,Stockton,7.83,57.3,,1.736787565,2.623939634,1960.84,149.5,
,Los Angeles,Los Angeles,7.27,84.8,,1.162857143,5.495084282,577.44,76.55,
,El Monte,El Monte,8.38,78.4,,1.63377193,2.149755393,2059.86,67.93,
,Modesto,Modesto,7.65,61.4,,1.57942316,3.289374748,858.77,97.48,
,Modesto,Modesto,7.2,82.2,,1.880197322,2.894000247,538.15,84.77,
,San Bernardino,San Bernardino,6.78,84.6,,1.352908587,3.984307932,981.21,119.54,
,Fresno,Fresno,7.89,57.2,,1.841676368,1.32046708,558.67,75.44,
,Pomona,Pomona,8.16,74.3,,1.613756614,5.483939054,810.09,77.44,
,North Hollywood,North Hollywood,7.58,57.4,,1.591310751,6.370153255,969.19,71.23,
,South Gate,South Gate,8.55,42.3,,1.986869385,4.961222489,1081.69,46.23,
,Los Angeles,Los Angeles,9.06,66.4,,1.401834862,4.707080351,2355.35,45.01,
,Reedley,Reedley,7.84,69.1,,1.778084715,0.117849154,207.32,92.61,
,Bakersfield,Bakersfield,6.88,71.6,,1.466891134,2.507886985,719.8,89.83,
,Los Angeles,Los Angeles,8.57,54.6,,1.789517471,6.094504703,2086.55,83.36,
,North Hollywood,North Hollywood,7.8,64.6,,1.588505747,5.840219562,1078.75,61.15,
,Stockton,Stockton,6.91,80.6,,1.484346225,2.283685235,642.67,90.94,
,Riverside,Riverside,8.45,44.9,,2.234468938,2.465612954,1725.72,102.96,
,Colton,Colton,9.26,54.9,,2.287798408,0.286547555,1507.26,55.09,
,Los Angeles,Los Angeles,7.44,58.5,,1.913714805,3.829723273,1815.31,81.72,
,Huntington Park,Huntington Park,7.62,77,,1.533333333,4.616263369,806.73,59.17,
,Bakersfield,Bakersfield,7.98,62.8,,2.028210117,0.211270418,537.47,89.83,
,Moreno Valley,Moreno Valley,7.76,74.2,,1.893667861,0.939523084,1520.45,58.11,
,Fontana,Fontana,8.43,56,,2.418604651,0.334898738,1095.52,74.22,
,Los Angeles,Los Angeles,7.28,67.1,,1.636150235,6.748507085,979.6,68.91,
,Fresno,Fresno,7.64,77.3,,1.426074634,3.809046464,1131.46,88.39,
,Paramount,Paramount,8.38,47.9,,1.881219904,2.378153101,1626.68,50.32,
,Pomona,Pomona,7.77,68.5,,2.035218783,2.89224774,481.45,70.31,
,Fresno,Fresno,8.56,42.9,,2.223163842,0.100306598,286.07,110.07,
,Ontario,Ontario,8.52,68.1,,2.104743083,2.642942895,399.55,42.99,
,Bell,Bell,8.01,61.1,,1.709854015,5.136802084,662.27,48.15,
,Los Angeles,Los Angeles,8.87,72.2,,0.692269327,14.02004294,614.69,67.73,
,El Monte,El Monte,8.03,61.8,,1.28525296,4.749910827,1652.23,53.71,
,Inglewood,Inglewood,7.53,51.3,,1.747609943,4.63920893,2827.76,68.69,
,Los Angeles,Los Angeles,7.82,86.6,,1.233881163,5.901391843,832.79,63.39,
,Inglewood,Inglewood,7.63,53.7,,1.624843162,4.100626149,2485.36,86.66,
,Los Angeles,Los Angeles,7.16,83.1,,1.396937574,9.594863822,4700.41,95.56,
,Van Nuys,Van Nuys,7.18,70.2,,1.756656017,3.522491592,2612,74.19,
,Glendale,Glendale,8.46,48.5,,1.355951057,11.49424452,854.2,72.69,
,Los Angeles,Los Angeles,7.98,74.7,,1.539166667,5.750542289,502.69,64,
,San Bernardino,San Bernardino,6.69,82.1,,1.157480315,5.248485819,938.53,111.82,
,Los Angeles,Los Angeles,7.58,57.9,,1.809294872,5.20402414,944.9,79.03,
,Compton,Compton,8.32,35.5,,2.042927903,2.547927991,1102.68,90.19,
,Long Beach,Long Beach,7.23,84.3,,1.076569678,6.87266442,633.62,112.42,
,Stockton,Stockton,7.43,63.3,,1.922140061,1.953402821,486.11,86.39,
,Los Angeles,Los Angeles,7.52,81.2,,1.520072993,8.672040737,1045.66,79.03,
,Bakersfield,Bakersfield,6.94,72,,1.595719382,1.423672482,619.55,89.83,
,Gardena,Gardena,8.38,40.7,,1.810731707,3.211887787,2924.53,66.08,
,Paramount,Paramount,8.18,61.6,,2.181606519,3.489791936,2498.36,61.93,
,Los Angeles,Los Angeles,7.02,64.8,,1.734036646,6.427562632,954.09,73.75,
,Fresno,Fresno,6.69,75.4,,1.485480268,4.156751964,413.74,119.15,
,Ontario,Ontario,7.39,51.1,,2.024892704,3.619975852,3875.97,79.43,
,Modesto,Modesto,8.64,62.8,,1.010158014,1.345451393,432.82,86.67,
,Los Angeles,Los Angeles,6.68,74.7,,1.879297173,6.120728056,899.26,88.42,
,Los Angeles,Los Angeles,8.67,56.6,,1.160087719,1.239326383,2962.46,96.21,
,Baldwin Park,Baldwin Park,8.81,63.5,,1.990873533,2.511415389,3844.98,57.41,
,Los Angeles,Los Angeles,7.26,70,,1.58915212,7.981918762,568.16,88.42,
,South Gate,South Gate,7.57,49.5,,1.830985915,4.395225566,991.32,46.23,
,Fresno,Fresno,8.2,48.9,,2.196374622,0.091257647,571.47,79.97,
,Long Beach,Long Beach,8.41,44.8,,2.145686901,3.804465924,2358.67,62.76,
,Compton,Compton,6.88,77.5,,1.806587246,6.921552847,706.2,79.9,
,Los Angeles,Los Angeles,7.59,69.5,,1.779790941,5.374802103,984.84,71.89,
,North Hollywood,North Hollywood,7.98,58.4,,1.347877358,7.80754387,2333.92,56.33,
,South Gate,South Gate,9.14,36.4,,1.820560748,1.562675116,2135.53,37.83,
,Los Angeles,Los Angeles,7.16,47.1,,1.544848036,4.926905064,1039.82,137.25,
,Riverside,Riverside,8.66,59.7,,1.779799247,2.354528397,1820.51,61.75,
,Compton,Compton,6.83,60.7,,1.479719189,5.26512248,622.21,110.81,
,Van Nuys,Van Nuys,6.9,54.3,,1.794701987,6.906533411,1502.57,98.74,
,Fresno,Fresno,6.57,80.2,,1.372665535,1.80519642,821.23,100.91,
,El Monte,El Monte,8.08,70.9,,1.686158401,7.583703065,828.23,63.26,
,Bloomington,Bloomington,8.26,52.3,,2.335289802,0.73030383,492.28,48.17,
,Glendale,Glendale,7.35,65.5,,1.404447533,10.85459395,784.56,54.47,
,Stockton,Stockton,7.35,68.5,,1.756660746,2.268631969,1354.4,80.48,
,Los Angeles,Los Angeles,9.28,40.8,,1.459064327,3.299834232,3118.84,60.91,
,Riverside,Riverside,7.88,67.3,,2.300959233,2.449863222,1586.76,55.89,
,Los Angeles,Los Angeles,6.68,76,,1.632561133,7.739777447,3760.06,95.56,
,San Bernardino,San Bernardino,7.3,73.4,,2.229148376,0.815680126,1016.11,83.09,
,Hawthorne,Hawthorne,8.74,45.9,,2.114858706,2.105953217,2309.13,73.29,
,Merced,Merced,7.5,67.7,,1.362424242,1.179072504,808.6,94.1,
,Turlock,Turlock,8.48,44.9,,2.244593587,0.134280705,809.5,82.64,
,Stockton,Stockton,7.24,71,,1.724315068,1.578415471,1123.75,128.15,
,Los Angeles,Los Angeles,7.16,65.4,,1.676470588,9.910979158,1154.06,95.56,
,Compton,Compton,7.19,66.5,,1.869242199,4.934304255,604.98,99.6,
,Sun Valley,Sun Valley,7.9,48.1,,1.983561644,7.171108236,970.75,77.04,
,Los Angeles,Los Angeles,7.05,66.7,,1.28460039,9.306802663,2880.28,100.42,
,Compton,Compton,7.74,74.9,,1.88774003,2.183466183,752.18,67.98,
,Pomona,Pomona,7.95,69,,1.911949686,4.769929059,1877.05,68.69,
,Riverside,Riverside,8.72,63.2,,1.435800604,0.962854268,1563.53,52.47,
,South El Monte,South El Monte,8.11,73.3,,1.997975709,3.816946988,706.85,52.93,
,Inglewood,Inglewood,7.18,70.5,,1.930681818,7.256032839,3005.12,68.69,
,North Hollywood,North Hollywood,7.64,38.5,,2.068571429,5.153532167,2025.76,78.9,
,Long Beach,Long Beach,8.5,46.6,,2.006282723,4.736009011,2119,72.09,
,Los Angeles,Los Angeles,8.18,58.4,,1.603252033,4.923171118,2876.64,58.02,
,South Gate,South Gate,7.39,76.9,,1.55257732,10.56417369,1060.77,46.23,
,Los Angeles,Los Angeles,8.14,72.7,,1.614942529,2.875500926,1269.31,45.07,
,Fresno,Fresno,6.78,80.2,,1.441947566,2.208321615,1124.63,116.9,
,Riverbank,Riverbank,8.69,59.6,,2.099726776,2.26480043,306.4,48.64,
,North Hollywood,North Hollywood,8.27,39.1,,2.293929712,2.19925816,2435.26,70.59,
,Bell,Bell,8.73,71.1,,2.128772636,3.906799581,2121.54,48.15,
,Stockton,Stockton,8.01,39.5,,2.148333333,3.403742536,1388.33,94.06,
